5
1000 5 200 300
Q C 291 NO
q A 147 ERR
n D 253 NO
E D 195 ERR
Z A 239 NO
M B 212 ERR
F E 134 NO
d D 259 NO
a E 58 ERR
D A 11 NO
S A 135 NO
c D 206 NO
T C 178 ERR
Y A 194 NO
H C 174 NO
J C 109 NO
C E 200 ERR
P E 105 ERR
M B 100 ERR
K A 28 NO
E A 22 NO
h A 273 ERR
I A 122 ERR
` E 114 ERR
m E 195 NO
S E 180 NO
a E 171 NO
N E 90 NO
A A 66 NO
a D 282 NO
q E 103 NO
i B 230 NO
m E 27 NO
I A 12 NO
h C 49 NO
] A 79 NO
q A 118 ERR
p D 76 ERR
G D 291 NO
p D 13 NO
N D 158 NO
i E 42 NO
^ C 281 NO
K B 211 NO
F E 167 ERR
_ E 243 ERR
O E 273 NO
A B 176 NO
^ D 266 ERR
f B 269 ERR
C B 55 ERR
M E 235 NO
E C 108 ERR
p E 32 NO
E D 9 NO
R E 63 ERR
f B 70 ERR
J A 157 NO
Z C 8 NO
r A 221 NO
Z B 85 NO
b D 118 NO
P D 76 NO
S E 144 NO
H E 3 NO
S A 95 ERR
I B 54 ERR
Q C 172 ERR
E E 219 NO
n C 205 ERR
V C 193 ERR
Y C 17 ERR
j E 239 ERR
N E 2 ERR
h E 252 ERR
o B 217 NO
p E 73 NO
J D 61 NO
r E 124 NO
o C 9 NO
_ A 101 NO
_ E 190 ERR
` C 3 NO
I B 282 ERR
o A 127 NO
V E 11 NO
] E 210 NO
O B 144 NO
S A 286 ERR
H A 67 NO
R D 189 ERR
[ E 218 NO
^ B 34 NO
L E 279 NO
n D 205 NO
] C 103 ERR
c E 108 NO
g E 6 ERR
P D 205 ERR
[ B 105 ERR
] E 293 NO
O C 47 ERR
Q B 76 NO
i A 65 NO
o A 286 NO
O B 34 NO
L C 119 ERR
d D 88 NO
K A 84 ERR
U B 161 ERR
O E 32 ERR
D A 3 ERR
W A 288 ERR
U B 12 NO
R A 248 NO
V D 34 ERR
M D 295 NO
D D 192 NO
A E 127 ERR
p B 251 NO
T E 295 ERR
g C 259 NO
X A 119 ERR
S B 175 ERR
] C 195 NO
G E 144 NO
U C 60 ERR
O B 271 NO
^ B 26 ERR
Y E 259 NO
M D 204 ERR
p A 208 ERR
Q E 295 NO
m B 46 NO
g E 244 NO
T B 255 ERR
_ A 253 ERR
S A 52 NO
b C 52 NO
C E 16 NO
j A 20 NO
T E 153 ERR
H C 233 NO
N D 253 NO
h D 253 ERR
^ D 247 NO
k A 194 NO
Y A 51 NO
d C 37 NO
r D 254 ERR
b A 230 NO
g D 247 ERR
i E 217 NO
Y D 275 ERR
J A 266 NO
r D 190 ERR
g E 226 ERR
l C 159 NO
h C 244 NO
_ A 77 ERR
h D 81 NO
R C 164 NO
p C 289 ERR
H E 140 ERR
D E 279 NO
l E 46 ERR
X E 101 NO
D A 13 NO
J E 193 NO
o D 103 NO
S C 189 ERR
T C 165 NO
I B 233 ERR
p C 19 ERR
^ C 268 NO
T B 121 ERR
_ C 278 NO
B C 275 NO
g B 77 ERR
L E 130 ERR
r E 235 NO
f A 272 NO
m C 57 NO
M B 92 NO
N B 239 NO
X D 28 NO
[ A 170 NO
l D 58 NO
Z C 245 NO
O D 3 NO
E B 229 ERR
U C 215 NO
_ A 25 ERR
m C 167 ERR
W E 230 NO
m A 297 NO
G D 132 NO
T A 95 ERR
d C 183 ERR
P D 37 NO
` E 295 ERR
m D 194 ERR
Q D 168 NO
_ D 31 NO
L D 79 NO
M D 201 NO
n D 3 NO
Z A 70 ERR
J D 253 NO
[ E 8 NO
X C 269 NO
X C 65 NO
U B 246 ERR
f A 296 NO
r E 146 ERR
M C 250 NO
G A 115 NO
^ C 30 NO
h D 231 NO
K C 270 NO
X A 6 NO
[ D 52 NO
o B 183 NO
Y C 114 NO
d D 278 NO
L E 14 NO
R D 32 NO
B C 243 ERR
h C 274 NO
q C 37 NO
Y E 262 NO
r A 121 NO
_ A 77 NO
A E 75 ERR
\ E 224 NO
Z E 174 NO
A B 210 ERR
j C 12 ERR
h C 275 NO
k E 59 ERR
L C 296 ERR
M B 190 NO
L A 173 NO
q A 253 NO
] C 190 NO
n E 100 NO
P B 131 NO
K B 149 ERR
P B 100 ERR
p C 125 ERR
O B 289 NO
g E 160 NO
_ D 295 NO
F E 54 NO
b D 109 NO
A A 102 NO
E B 60 NO
J B 151 NO
Q C 164 NO
S C 237 NO
C D 224 NO
C D 85 ERR
i B 206 NO
K B 158 NO
W B 260 NO
G C 257 NO
A A 60 NO
m C 158 NO
i B 214 NO
E A 33 NO
J A 25 NO
[ C 254 ERR
c B 297 NO
Q E 133 NO
U B 259 NO
N D 55 NO
l E 119 NO
` A 34 NO
X D 18 ERR
r D 185 NO
m B 246 NO
T D 62 ERR
c A 49 ERR
F A 286 NO
_ D 102 NO
i E 153 NO
L E 81 NO
H C 43 NO
U B 159 ERR
p D 188 NO
R E 96 NO
U A 77 ERR
N C 104 ERR
H E 81 NO
c B 19 NO
I D 81 NO
X C 65 NO
f D 284 NO
B A 282 NO
N E 243 ERR
o C 211 NO
o B 38 NO
V B 19 NO
B A 14 NO
M C 75 ERR
_ A 117 NO
A A 230 NO
I B 165 NO
m A 222 NO
X C 173 ERR
Z C 177 NO
e A 18 ERR
V C 141 ERR
S E 215 NO
r B 209 ERR
r B 146 ERR
h B 77 NO
X A 29 NO
Q E 266 NO
A D 197 ERR
q B 27 NO
` D 271 ERR
i B 66 NO
` C 90 NO
d A 33 ERR
D D 74 NO
S D 141 NO
r D 216 NO
r D 46 ERR
A C 67 ERR
^ A 293 ERR
h A 293 NO
e E 21 ERR
h B 76 NO
[ B 30 ERR
\ B 102 NO
_ D 49 NO
L A 286 NO
p E 158 NO
k C 12 NO
R A 17 NO
J E 264 NO
C C 178 NO
^ D 112 NO
A B 137 ERR
1000 5 200 300
g D 33 ERR
k E 78 NO
_ D 134 ERR
Y A 109 NO
^ B 57 NO
M B 136 NO
X D 293 NO
G B 220 NO
D E 146 NO
p E 144 ERR
l D 140 NO
V D 266 NO
Q D 208 NO
^ A 72 NO
k D 225 NO
c D 188 NO
f B 188 NO
C D 28 NO
p C 268 NO
k A 132 ERR
K A 292 NO
h E 226 NO
K B 248 ERR
Q B 41 ERR
d B 252 ERR
p E 279 NO
g B 61 NO
J A 293 NO
R A 85 NO
D B 23 NO
D B 127 NO
\ D 189 NO
B B 192 ERR
L E 56 ERR
E D 280 ERR
` C 19 ERR
Q C 287 NO
R D 294 NO
q A 261 ERR
J A 190 ERR
F D 190 NO
i D 267 NO
` C 119 NO
R B 257 ERR
e A 27 NO
N D 184 ERR
\ A 38 NO
I C 80 NO
F B 190 NO
C B 93 NO
\ B 33 NO
O C 296 NO
p C 64 NO
[ E 80 ERR
K D 111 NO
F A 169 NO
k C 295 NO
a C 229 NO
i E 38 ERR
W D 202 NO
d A 214 NO
M D 86 NO
P C 227 NO
T A 51 NO
b E 73 NO
h D 283 NO
_ D 10 NO
N A 293 NO
X B 262 NO
N A 10 NO
T E 294 NO
X E 126 ERR
K E 84 NO
R E 72 NO
d A 190 ERR
I B 125 ERR
V C 179 NO
g A 113 ERR
` C 149 NO
X C 208 NO
L B 285 NO
K D 191 NO
X E 146 NO
d D 32 NO
\ D 69 NO
h D 194 NO
P A 222 ERR
` E 23 ERR
i C 259 NO
C A 148 NO
d E 204 NO
E E 0 ERR
X E 33 NO
o C 233 NO
X C 140 NO
L C 142 NO
Y C 186 NO
n B 27 ERR
Q E 22 NO
S E 17 NO
K A 194 NO
a A 23 NO
i B 256 NO
` C 146 NO
n B 38 NO
M B 161 ERR
M A 151 NO
l B 289 NO
^ C 140 NO
E E 231 ERR
k B 120 NO
n A 25 NO
p B 152 NO
] D 257 ERR
h E 172 NO
C E 198 NO
i A 56 NO
i E 205 ERR
d C 175 NO
Z A 22 NO
f A 124 NO
V E 136 ERR
A A 123 NO
h E 272 ERR
T B 217 NO
e D 6 NO
C C 194 NO
r D 50 NO
A B 144 NO
J D 260 ERR
D B 111 NO
M E 113 NO
c B 295 NO
k A 201 NO
X A 175 NO
P E 3 NO
q A 266 NO
X B 7 ERR
E D 29 NO
W B 39 ERR
S B 190 ERR
m A 174 ERR
U D 280 NO
W E 88 NO
F A 237 NO
f A 65 NO
T B 71 NO
T D 13 NO
n E 99 NO
q E 117 NO
M C 133 NO
F E 53 NO
X C 34 NO
Z E 265 NO
l A 124 NO
G B 72 ERR
T B 145 NO
q C 103 NO
I A 184 NO
T D 195 ERR
C C 91 ERR
O C 19 NO
P B 236 ERR
L C 267 NO
V B 177 NO
G D 247 NO
j D 79 NO
m D 253 NO
] B 10 ERR
c E 147 NO
D E 84 NO
[ B 162 ERR
o A 241 NO
g D 178 NO
U E 58 NO
f A 79 NO
J B 151 NO
F A 150 NO
d B 239 NO
O E 61 NO
_ C 248 NO
o B 235 NO
c D 191 NO
c C 102 NO
j D 201 NO
K E 238 NO
F C 1 ERR
\ D 53 NO
l A 263 ERR
R C 66 NO
U A 140 ERR
d E 97 NO
e A 76 NO
K E 138 ERR
[ C 263 NO
R C 133 NO
k A 52 NO
m E 235 NO
R B 65 NO
_ D 48 NO
m C 220 NO
M B 215 NO
b B 248 NO
i C 42 NO
D E 206 NO
F C 15 ERR
E E 216 NO
I B 187 NO
c B 174 NO
n D 215 NO
` C 172 NO
j B 66 ERR
i A 45 NO
O C 193 ERR
L C 11 ERR
a C 191 ERR
p B 237 ERR
M D 61 NO
J C 15 ERR
N E 171 ERR
T C 18 NO
Y C 61 NO
G A 157 NO
P B 243 NO
L E 173 ERR
_ D 158 ERR
] A 218 NO
k A 65 NO
Z D 199 ERR
T D 32 NO
\ D 159 NO
k B 244 NO
c E 70 ERR
g E 217 ERR
T C 180 NO
o D 234 NO
P E 295 NO
\ C 289 NO
\ C 116 ERR
A B 69 NO
T D 149 NO
\ D 198 ERR
p B 198 NO
^ D 80 NO
p A 3 NO
W C 296 NO
R A 288 NO
^ C 6 NO
c B 122 ERR
n D 269 ERR
` E 31 ERR
c E 111 NO
d A 85 NO
d C 230 NO
n A 263 NO
X D 87 ERR
R C 295 NO
i E 247 NO
N E 131 NO
G C 249 ERR
J B 96 NO
R A 10 NO
l E 158 NO
M B 225 ERR
m C 142 NO
] A 223 NO
B D 210 NO
l C 260 NO
W B 121 ERR
e E 268 NO
N B 152 NO
^ D 7 NO
k B 290 ERR
a B 101 NO
W B 113 NO
^ E 223 ERR
] B 35 NO
A B 248 ERR
m C 149 ERR
K B 33 NO
k E 0 NO
\ C 198 ERR
M C 75 NO
U B 127 NO
B D 214 NO
d E 71 NO
M E 186 NO
\ D 116 ERR
q A 190 NO
F D 41 NO
f A 96 NO
h D 139 NO
U B 90 NO
c A 105 NO
\ E 158 NO
X C 179 NO
m A 278 NO
Q C 102 ERR
e B 201 NO
q D 239 NO
a A 128 NO
a C 24 NO
W E 54 ERR
L D 190 NO
Y C 208 NO
K A 230 NO
d A 245 ERR
J E 15 ERR
V E 51 ERR
` D 286 ERR
q D 60 NO
h D 94 NO
^ E 83 NO
W A 288 ERR
m A 244 ERR
F D 272 NO
j E 179 NO
T D 26 ERR
L A 90 NO
j A 218 ERR
I B 235 NO
m D 280 ERR
k E 143 NO
Z C 289 ERR
p A 257 ERR
g B 20 NO
b B 119 NO
I D 294 ERR
L C 228 NO
e C 227 NO
c B 113 ERR
Z B 222 NO
D A 296 NO
Q B 93 ERR
] B 284 NO
M C 139 NO
i B 183 NO
l B 288 NO
W A 22 ERR
p E 244 ERR
d B 264 NO
c E 180 NO
i E 48 NO
b D 144 NO
D A 282 NO
_ D 39 NO
O C 199 NO
X B 134 NO
^ E 194 NO
Z D 261 ERR
D E 3 NO
B E 77 NO
j C 108 NO
f D 232 NO
U A 66 NO
` B 152 NO
S B 45 NO
^ A 293 NO
F A 206 NO
r A 22 NO
e A 66 ERR
A B 232 NO
T E 110 ERR
\ D 167 NO
l B 237 NO
e D 247 NO
e B 203 NO
Q B 40 NO
A E 290 ERR
M D 278 NO
n E 208 NO
P E 130 NO
o A 287 NO
V E 167 ERR
Y C 72 ERR
I B 166 NO
W B 279 ERR
T D 191 NO
C E 102 NO
D B 133 NO
h A 6 NO
c B 250 NO
n C 253 NO
D C 17 NO
G A 22 NO
d B 270 NO
\ B 263 NO
h E 149 NO
E D 198 ERR
h A 95 NO
Q E 145 ERR
p D 219 NO
Z A 74 ERR
o E 123 NO
q E 151 NO
d B 193 NO
k E 163 NO
H D 54 NO
I B 140 NO
V A 246 ERR
K E 279 NO
f B 70 NO
[ D 163 NO
k C 161 ERR
\ C 98 NO
m C 252 ERR
Z D 298 ERR
r A 50 NO
[ E 149 NO
D C 80 NO
n B 282 ERR
r B 158 NO
` D 290 ERR
J B 227 NO
\ A 36 NO
b D 21 NO
X D 189 NO
U B 260 NO
F B 92 NO
q C 234 NO
` D 260 ERR
A B 30 ERR
H B 197 NO
A A 37 NO
f B 94 NO
S E 134 NO
^ D 102 NO
N E 120 NO
m C 218 NO
p A 186 NO
r E 25 NO
L E 114 NO
M C 293 NO
r E 103 NO
j A 283 NO
L A 21 NO
C C 74 NO
T E 137 NO
D E 153 NO
C A 214 ERR
j A 240 ERR
a B 242 NO
U A 167 NO
I B 191 ERR
l B 128 NO
g A 198 NO
Y B 212 ERR
f D 279 ERR
T D 153 ERR
l E 43 NO
o B 251 NO
Y E 93 NO
G C 278 NO
_ B 265 NO
E D 294 ERR
X B 196 ERR
` C 108 NO
E E 38 NO
f B 222 ERR
O E 67 NO
D B 82 NO
g C 279 ERR
B E 52 ERR
C C 226 ERR
` E 11 ERR
q D 244 ERR
_ E 296 ERR
i E 34 ERR
_ A 196 NO
L D 291 NO
a D 33 NO
c E 248 NO
G D 96 ERR
Y A 148 NO
R E 222 NO
O C 257 ERR
d B 30 NO
c A 165 NO
^ E 113 NO
B B 78 NO
C A 127 NO
c D 19 NO
G A 235 NO
b E 280 ERR
h C 30 NO
l D 274 NO
^ E 96 NO
U E 217 NO
N A 26 NO
c A 140 ERR
o C 7 NO
f B 156 NO
N E 268 NO
_ A 105 NO
G D 15 NO
K C 7 NO
G B 111 NO
Q E 199 NO
T E 66 NO
l C 184 NO
B E 74 NO
V B 254 NO
S B 197 NO
p A 202 NO
r B 297 NO
Z A 268 NO
\ A 37 ERR
P E 108 NO
` A 210 NO
o B 66 NO
O C 231 NO
h E 70 NO
_ D 157 NO
m C 96 ERR
n D 139 NO
\ A 249 NO
T E 163 ERR
G E 292 NO
I C 231 ERR
C E 54 NO
l E 294 NO
Y E 6 NO
_ C 153 ERR
] D 274 NO
O E 86 NO
F A 132 NO
T B 79 NO
b A 274 NO
p E 40 NO
C C 39 NO
_ C 153 NO
g D 59 ERR
k E 222 NO
p C 263 NO
V C 211 ERR
V E 34 ERR
j D 19 NO
W B 141 ERR
j B 77 NO
\ D 96 NO
X D 211 ERR
[ D 203 NO
E D 130 NO
f E 143 ERR
l C 20 NO
Y C 74 NO
T C 225 NO
e E 186 NO
E E 153 ERR
D A 91 NO
r B 264 NO
g D 292 ERR
J C 290 NO
I B 10 NO
a D 87 ERR
I A 172 ERR
O A 281 ERR
O D 132 ERR
c C 137 NO
X C 149 ERR
l B 174 NO
I B 231 NO
g D 53 NO
I C 147 NO
j D 250 NO
X D 252 NO
P A 102 ERR
X D 27 ERR
I C 142 NO
\ C 167 NO
d A 139 NO
B E 246 ERR
R D 244 ERR
F C 50 ERR
K B 137 NO
X C 117 NO
R E 228 ERR
W E 257 ERR
T B 55 NO
[ A 213 NO
B E 48 ERR
b A 138 NO
k C 221 NO
K C 287 NO
U D 228 NO
C A 86 NO
Y A 207 NO
i D 108 NO
V E 233 NO
F C 41 NO
k D 119 NO
] E 285 NO
f D 260 NO
P E 249 NO
E A 94 NO
A C 268 NO
h B 3 NO
P A 226 NO
G C 265 ERR
D D 136 ERR
I E 46 NO
J C 254 NO
A A 249 ERR
f B 172 NO
F C 59 ERR
a B 74 NO
S A 50 NO
a C 111 NO
k E 230 NO
D A 186 NO
V A 191 NO
r E 148 NO
g D 224 NO
] D 207 ERR
N C 63 ERR
T D 159 ERR
d C 250 NO
E B 7 NO
r E 172 NO
Y A 133 NO
l A 86 NO
L D 163 ERR
R B 287 NO
O E 203 ERR
D E 144 NO
F C 96 NO
a E 140 ERR
a E 174 NO
_ E 130 NO
h B 189 NO
E B 62 ERR
K E 183 NO
r B 107 NO
a D 202 ERR
j D 68 NO
a C 199 NO
^ C 30 ERR
J C 278 NO
V C 196 ERR
r A 15 ERR
\ C 32 NO
d A 259 NO
q C 127 ERR
D C 181 NO
e D 61 NO
g A 233 NO
C C 22 NO
n C 260 NO
] A 38 NO
Q B 242 ERR
` A 146 NO
J A 66 ERR
U B 188 ERR
O A 202 NO
P B 67 NO
P B 89 NO
P A 37 NO
n E 239 NO
Q A 151 NO
e D 53 NO
F B 173 NO
l A 146 NO
P A 256 NO
K B 286 NO
V E 73 NO
O E 83 ERR
C A 128 NO
g A 79 NO
N B 139 NO
r E 136 NO
^ A 3 NO
U C 180 ERR
K A 51 ERR
B B 249 ERR
K C 261 ERR
F A 62 NO
V B 71 ERR
N E 220 NO
S C 290 NO
h B 178 NO
W E 34 NO
T B 261 ERR
m E 225 NO
q A 97 NO
] A 247 ERR
a D 162 NO
o A 225 NO
^ A 64 ERR
P C 151 NO
B D 152 NO
] D 155 NO
_ C 93 NO
C B 277 ERR
] D 99 NO
r E 274 NO
U C 267 NO
a D 88 NO
f E 133 NO
Y C 90 ERR
D D 232 NO
N B 229 ERR
f B 114 NO
` D 235 NO
` E 262 NO
e B 63 NO
r A 160 ERR
N C 19 ERR
T E 280 ERR
A B 165 NO
d B 239 NO
c C 199 ERR
T E 101 ERR
m A 220 NO
M D 2 ERR
N B 0 ERR
T B 45 NO
H B 79 NO
P A 211 NO
b D 187 NO
W D 181 ERR
K D 97 NO
i C 137 NO
m D 17 NO
L E 46 NO
q B 123 ERR
\ A 217 NO
M B 146 NO
W A 245 ERR
H B 296 NO
B D 124 NO
_ A 48 ERR
l B 247 NO
h B 279 NO
V A 286 NO
D E 184 NO
o E 245 ERR
\ B 281 ERR
M C 228 ERR
` D 99 ERR
_ D 124 NO
P E 257 NO
e A 92 NO
I A 242 NO
O C 81 NO
A A 138 NO
^ D 135 NO
o C 5 NO
i C 98 NO
P B 60 NO
] B 189 NO
U E 282 ERR
o C 94 NO
Z E 89 ERR
M D 132 NO
E B 63 NO
_ A 100 NO
B B 221 ERR
G C 273 ERR
o B 267 ERR
P A 107 ERR
U A 145 ERR
g C 224 NO
] C 31 ERR
k E 242 NO
P A 135 NO
e B 54 NO
c C 82 NO
P E 85 ERR
J A 83 NO
j E 225 NO
Y D 227 NO
e B 176 ERR
X E 190 ERR
c A 218 ERR
Q E 281 NO
Z C 6 NO
a D 70 NO
e A 229 NO
a C 199 NO
L C 239 NO
] B 103 NO
T E 264 NO
m B 239 NO
` C 224 NO
c C 38 ERR
` D 72 NO
b C 90 ERR
T B 74 NO
c A 184 NO
` A 37 ERR
Z E 64 NO
b C 275 ERR
O B 79 NO
q D 204 NO
\ C 68 ERR
p E 270 ERR
P A 76 ERR
n D 188 NO
R A 257 NO
U D 201 NO
W A 214 ERR
Q C 19 NO
_ B 133 NO
V E 162 NO
A A 244 NO
l D 253 NO
q B 45 NO
U D 228 NO
O B 158 NO
r A 289 NO
r A 78 NO
` E 194 ERR
S A 186 ERR
h E 208 NO
b D 220 NO
L D 24 NO
M A 156 NO
o E 96 NO
Y A 58 NO
] A 90 ERR
h D 225 NO
A D 210 NO
Y B 235 NO
Y C 267 ERR
L E 10 NO
` D 70 NO
B E 21 NO
m E 287 NO
N A 13 NO
S C 226 NO
k B 69 NO
p B 115 NO
k E 54 ERR
G D 283 NO
\ B 280 NO
b D 64 ERR
d B 99 ERR
r C 201 NO
m C 230 NO
O E 103 ERR
f E 84 NO
c D 85 NO
D A 38 ERR
d A 246 NO
L D 222 NO
U D 257 ERR
l C 255 ERR
U B 48 ERR
Q E 54 NO
\ E 74 ERR
r A 131 NO
H E 35 NO
h E 254 NO
a A 264 NO
B C 275 ERR
j A 205 NO
f A 82 ERR
B D 289 NO
j E 219 NO
q C 113 NO
T D 92 ERR
S B 270 NO
c E 282 NO
Y D 178 ERR
j E 48 NO
l E 51 NO
D B 27 NO
G A 140 NO
U B 63 ERR
p C 297 ERR
q C 196 NO
X E 52 ERR
K D 290 ERR
H E 155 NO
S E 106 ERR
B E 50 ERR
p D 55 ERR
_ B 115 ERR
P D 70 NO
g E 281 NO
G A 246 ERR
f B 9 NO
c B 269 NO
V A 261 NO
] A 116 NO
k C 272 NO
n C 143 NO
M D 275 NO
A A 43 NO
m D 101 NO
f A 23 NO
Z E 101 NO
h B 291 ERR
M D 158 NO
S A 256 NO
f B 114 ERR
O A 174 NO
K C 228 NO
S C 72 ERR
G B 72 ERR
_ E 252 NO
H D 247 ERR
b C 175 NO
m E 125 NO
V A 158 ERR
C D 201 NO
T E 12 ERR
a E 260 NO
C B 265 NO
b E 18 ERR
H B 295 NO
R E 80 ERR
C B 43 NO
[ E 272 NO
T B 36 NO
D E 124 NO
^ A 92 NO
K E 100 NO
Q E 5 ERR
W A 231 ERR
i E 269 ERR
Y C 274 NO
Q E 263 NO
X B 205 NO
P D 156 ERR
Q A 128 NO
c C 155 NO
S C 139 NO
` C 277 ERR
F C 218 NO
o B 209 NO
r C 186 NO
X D 141 NO
] D 54 ERR
W D 60 ERR
` E 211 NO
P B 130 NO
R B 160 NO
O B 151 NO
n E 95 NO
c D 96 NO
q B 38 NO
] A 192 NO
F D 163 NO
S B 189 NO
l A 65 ERR
M D 292 ERR
D B 208 NO
q A 24 NO
Y C 53 ERR
G B 120 NO
F D 28 NO
P A 208 NO
X E 280 NO
b C 232 NO
m B 110 NO
D B 198 NO
o B 182 NO
H A 7 NO
d A 277 NO
T C 37 NO
L E 25 ERR
L B 100 NO
T A 164 NO
G D 12 NO
k E 22 NO
j A 13 ERR
` C 130 NO
P D 188 NO
S E 37 NO
] B 251 ERR
e D 111 ERR
P C 60 NO
f A 111 NO
C A 22 NO
S B 51 NO
H E 131 NO
i A 127 ERR
V C 1 NO
D B 169 NO
M C 262 NO
o E 135 NO
D A 51 ERR
K A 249 ERR
a D 236 NO
\ B 287 NO
a E 162 NO
d C 72 NO
N B 164 NO
E D 26 NO
M A 207 NO
c B 211 NO
S C 198 ERR
p A 185 ERR
F D 275 NO
o B 196 ERR
D D 76 NO
` D 154 NO
q E 63 ERR
K D 2 NO
1000 5 200 300
n D 174 NO
h A 134 NO
R B 108 NO
i A 291 ERR
h D 137 NO
T E 241 NO
D A 182 NO
I C 165 ERR
m D 15 ERR
_ D 161 NO
W C 23 ERR
V C 127 ERR
^ C 280 NO
\ C 51 NO
R A 60 ERR
B B 20 NO
B E 101 NO
a C 135 NO
e B 246 NO
O E 211 ERR
T B 64 NO
D A 126 NO
h B 117 NO
b E 199 ERR
E D 73 NO
l A 34 NO
c B 28 NO
b A 100 NO
H C 245 ERR
N E 20 NO
B B 238 NO
B D 83 NO
p D 2 ERR
o C 156 NO
X C 117 ERR
Y B 293 ERR
] D 239 NO
[ C 64 NO
E C 166 ERR
f E 23 NO
h C 284 NO
r B 37 ERR
T B 222 NO
V B 134 NO
W A 59 ERR
A C 103 NO
W A 10 NO
n C 223 NO
^ C 179 NO
G E 224 NO
S E 46 ERR
O B 48 NO
n A 244 NO
K C 256 NO
N B 200 NO
O B 60 NO
d D 240 ERR
a A 13 ERR
i D 121 ERR
m E 65 NO
I C 63 NO
C E 291 NO
W E 34 NO
E B 57 NO
\ C 250 ERR
F A 108 ERR
H C 240 NO
C B 236 NO
I B 211 NO
I A 252 ERR
r B 4 NO
Z B 114 ERR
` B 85 NO
l E 126 NO
X A 258 NO
V A 146 NO
P E 44 NO
` E 228 NO
K B 160 NO
m A 148 NO
G E 150 NO
r B 161 ERR
W C 191 NO
B A 1 NO
P B 250 ERR
j D 186 NO
\ B 116 NO
N E 146 NO
b A 244 ERR
O D 288 NO
b D 216 NO
] E 212 ERR
N A 110 NO
Q B 71 NO
X A 148 NO
C B 112 NO
M C 164 NO
O B 156 NO
f E 40 NO
j C 171 NO
f C 263 NO
p B 141 NO
L B 90 NO
U A 259 ERR
n E 96 NO
^ D 63 NO
J C 295 NO
e B 215 ERR
d A 281 ERR
e E 130 NO
f B 8 ERR
] D 214 NO
I B 226 ERR
l A 48 NO
V C 110 ERR
X C 191 NO
V D 61 NO
` E 18 NO
d C 29 ERR
I D 45 ERR
Y D 65 NO
i D 264 NO
A A 176 NO
B E 291 NO
O C 230 ERR
f A 263 NO
I A 6 NO
k A 68 NO
Z B 254 ERR
Z C 74 ERR
K C 77 NO
I B 288 NO
X D 76 ERR
l D 267 NO
a A 154 NO
g E 276 NO
j E 296 NO
J C 154 NO
r A 293 NO
` C 229 ERR
E E 179 NO
` A 46 NO
N C 17 NO
O E 8 ERR
Z C 251 NO
U A 256 NO
G D 265 NO
o A 206 NO
f C 120 NO
Z D 190 NO
q C 199 NO
c A 245 ERR
R D 80 NO
i D 245 ERR
d C 28 NO
P A 260 NO
E C 102 ERR
p E 137 ERR
V C 237 ERR
] E 113 NO
i C 202 ERR
f D 164 NO
O E 214 ERR
d D 174 ERR
g A 94 NO
p D 102 NO
S C 222 ERR
\ C 54 ERR
H A 297 NO
O B 101 ERR
f C 48 NO
Y E 240 NO
` E 155 NO
` E 46 NO
[ C 78 ERR
C D 184 NO
b B 273 NO
q C 121 NO
d C 17 NO
W A 166 NO
F A 109 NO
L B 272 NO
X A 190 NO
[ A 129 ERR
S E 103 NO
P B 235 NO
^ B 170 NO
A E 237 ERR
f D 240 NO
O B 64 ERR
D A 37 NO
h C 67 ERR
Q A 150 ERR
N A 131 ERR
j B 181 NO
V A 180 ERR
[ E 229 NO
h B 182 NO
^ C 91 ERR
H B 246 ERR
D C 242 NO
m E 142 NO
\ A 256 NO
p E 136 NO
i E 283 ERR
F A 67 NO
E C 57 ERR
j D 28 NO
W D 68 ERR
j A 15 ERR
R E 63 NO
q A 192 ERR
` C 170 NO
C C 102 NO
S B 30 NO
M C 23 NO
S E 143 NO
q C 170 NO
G B 260 ERR
I E 276 ERR
G D 187 NO
T A 48 NO
j D 34 NO
\ B 282 NO
m D 11 NO
X D 144 ERR
Q B 5 NO
b B 128 NO
\ A 161 NO
U B 279 ERR
g E 158 NO
i B 138 NO
e C 113 NO
N C 48 NO
N E 113 ERR
S A 105 ERR
W D 176 NO
B C 114 ERR
D E 281 NO
p E 262 NO
` D 216 ERR
R B 106 ERR
I A 197 NO
Y B 102 NO
Z C 217 ERR
p A 82 NO
W C 47 ERR
O E 278 ERR
l C 248 NO
F E 54 NO
I A 164 NO
T E 195 NO
V B 223 NO
o E 25 NO
P C 92 NO
h C 114 NO
q B 66 NO
P A 273 NO
^ E 14 NO
V B 273 ERR
r E 34 ERR
W D 262 NO
D D 149 NO
] C 83 NO
n E 189 NO
G D 54 NO
d B 179 NO
c E 199 NO
d D 183 NO
d B 189 NO
P D 245 ERR
f A 172 ERR
G C 29 NO
I E 234 NO
r A 148 NO
B D 85 NO
l B 161 NO
q C 50 ERR
n D 269 NO
k C 46 NO
b D 263 NO
B E 192 NO
j C 208 NO
d C 252 ERR
D D 260 NO
m B 298 NO
L E 104 NO
l E 284 NO
U C 157 ERR
F B 224 NO
F C 72 ERR
Q A 67 NO
a C 128 NO
n E 133 NO
b E 94 ERR
e D 106 NO
[ D 246 NO
H B 98 NO
T A 250 NO
] D 6 NO
G C 10 ERR
F B 229 ERR
o D 279 NO
l D 112 NO
S C 251 ERR
O B 199 NO
Q A 244 NO
n E 261 ERR
n C 281 NO
e C 176 ERR
M B 260 NO
S C 251 NO
o B 98 NO
E E 286 NO
