100000 -1486618624
-478549 -490130 D
-485349 -482518 L
-498160 -471585 D
-476383 -492068 U
-472505 -491318 L
-482964 -477310 L
-486758 -474553 L
-477642 -467532 L
-480768 -497715 L
-489324 -489528 L
-483966 -467822 D
-482363 -476362 U
-488029 -483434 D
-486201 -493680 R
-493754 -499589 L
-474169 -492235 D
-467329 -469051 R
-482433 -496126 D
-473522 -480231 L
-486988 -472658 L
-494015 -468601 U
-496830 -487530 L
-496795 -495345 R
-484490 -487901 R
-490479 -494115 U
-482893 -480240 R
-487819 -496909 D
-493172 -470471 U
-495635 -483537 D
-470821 -484163 L
-479354 -475394 R
-469891 -479084 R
-468924 -493038 D
-497736 -487698 U
-493575 -495372 U
-482433 -486926 D
-490027 -495275 R
-470522 -493899 U
-473088 -485034 R
-487320 -489850 R
-495158 -485039 L
-482483 -481826 R
-476064 -472890 U
-480044 -468586 L
-476657 -496015 D
-483029 -474320 L
-481174 -473926 U
-498537 -476328 L
-483336 -476417 U
-476958 -483867 D
-475081 -489116 R
-468635 -484088 L
-496365 -479184 R
-480220 -485018 L
-495837 -475936 U
-486465 -484531 R
-468407 -491918 R
-491235 -479925 L
-485749 -491617 D
-477920 -486707 U
-469701 -493324 L
-491071 -477806 L
-479030 -473582 U
-485529 -476402 D
-475173 -487305 D
-469417 -487651 D
-486288 -481382 D
-490105 -498801 R
-489912 -478893 L
-489658 -476047 R
-470076 -471376 L
-493202 -479449 R
-481554 -470836 R
-495074 -487763 D
-494468 -494000 U
-488654 -497252 D
-489250 -477802 U
-492055 -487736 U
-492613 -483158 R
-492159 -470137 R
-476054 -473179 D
-484685 -482546 U
-488885 -494837 R
-486582 -491418 R
-491003 -494791 U
-468905 -480036 R
-490213 -498936 R
-484696 -482558 L
-478375 -496855 U
-483189 -484710 D
-489989 -483091 L
-468722 -498685 D
-496984 -469393 L
-499666 -480775 D
-487275 -496796 L
-473928 -483632 U
-490393 -477964 R
-480304 -469394 U
-473170 -477079 L
-477360 -483156 D
-469225 -489571 U
-480382 -479250 U
-483682 -499859 R
-490016 -473586 L
-475801 -489578 D
-468513 -485909 U
-474355 -479032 U
-480777 -486848 R
-471417 -493348 U
-499110 -486770 L
-476433 -481692 U
-497634 -484038 L
-499506 -498672 U
-480566 -470475 L
-494910 -484953 D
-483459 -494656 U
-478577 -474246 U
-469966 -494801 L
-477179 -480608 U
-479543 -473671 R
-469704 -495781 L
-475435 -480843 D
-467973 -473995 U
-484752 -491822 D
-477525 -469640 R
-467590 -494548 U
-492895 -496884 L
-499705 -481965 D
-498463 -473117 L
-498693 -468071 D
-482836 -475656 D
-482573 -484544 R
-497733 -495861 R
-484077 -492444 L
-469689 -467803 D
-483754 -483917 U
-471765 -480506 D
-494744 -470191 R
-480949 -485433 L
-489412 -483719 R
-474237 -495587 U
-493098 -488773 U
-494656 -484353 L
-470522 -470038 L
-467428 -497000 R
-491778 -474094 D
-472108 -491058 R
-495083 -484595 D
-499669 -494133 L
-493553 -484970 L
-469350 -495937 L
-482630 -489493 U
-480802 -478624 D
-471341 -469931 D
-484411 -478256 R
-474531 -475085 R
-482370 -473114 D
-499972 -486814 L
-467292 -486112 R
-474899 -492530 L
-474048 -483942 R
-479569 -468650 D
-477344 -481570 R
-473465 -472764 D
-488532 -485771 D
-479663 -470773 L
-497547 -496783 L
-491671 -496496 L
-486862 -484235 L
-488559 -482665 L
-480146 -483613 U
-476904 -492225 U
-490422 -489681 U
-498763 -477305 D
-493595 -468077 U
-475953 -485617 R
-480949 -480875 D
-499415 -469667 U
-496711 -490469 R
-486613 -475579 L
-470962 -486653 L
-487356 -470709 R
-494704 -483715 R
-484076 -470512 U
-475323 -471152 L
-493732 -468944 L
-471921 -488299 R
-479762 -480995 L
-491434 -478317 L
-475635 -489774 U
-495528 -471622 U
-486656 -478086 U
-480899 -491917 U
-495675 -471459 U
-483260 -477770 R
-478172 -473936 R
-492959 -499534 L
-481900 -499428 U
-488223 -473880 U
-476752 -471782 L
-496523 -478916 D
-482511 -482442 L
-469586 -488010 R
-498781 -474741 U
-487086 -467477 D
-478385 -467670 L
-467691 -470215 D
-492013 -497120 D
-468140 -498850 R
-471263 -481586 D
-480087 -471773 L
-483626 -472734 R
-480141 -468996 U
-467670 -471163 R
-498272 -475917 D
-485266 -495457 R
-473245 -469437 U
-486582 -477441 R
-493165 -475044 U
-471494 -467319 U
-491795 -470443 U
-473083 -469066 D
-481420 -488206 U
-469542 -474097 U
-475249 -481596 U
-475370 -492186 D
-493361 -491243 R
-486941 -472197 D
-471214 -498532 D
-475853 -498739 R
-476348 -477662 U
-478781 -475700 L
-499732 -478544 U
-495839 -476764 R
-478653 -491560 R
-474378 -482731 L
-471274 -473046 L
-495621 -474147 L
-492278 -490232 R
-475287 -478058 U
-478930 -471475 R
-492865 -484067 U
-496420 -467584 U
-473810 -471975 U
-490992 -477812 D
-486631 -471684 U
-473213 -499400 D
-498847 -486383 D
-485328 -472624 U
-478861 -477573 D
-478713 -486211 D
-481191 -480914 U
-477701 -486907 L
-475588 -487611 L
-475217 -467234 U
-467693 -490428 U
-469649 -473371 R
-497545 -496342 D
-499400 -494699 D
-484902 -475235 R
-488967 -496375 L
-482425 -486312 U
-479148 -483272 L
-483269 -483044 U
-486258 -467412 D
-468935 -488230 U
-470170 -498464 U
-481752 -492908 L
-489972 -471615 U
-486125 -477226 D
-494213 -489704 U
-491926 -474648 U
-488494 -486216 R
-472613 -499454 R
-487798 -489015 D
-472501 -492763 D
-474467 -470900 D
-468375 -489368 L
-493585 -477596 R
-483196 -470819 L
-480347 -482928 U
-486224 -499622 U
-489179 -482479 R
-469660 -493883 L
-483337 -486278 D
-469494 -476233 R
-476989 -498792 U
-470975 -478574 L
-467435 -490704 L
-496701 -497569 U
-492103 -472114 L
-484829 -481521 D
-487989 -493358 D
-492824 -478733 L
-496437 -493503 L
-486993 -475774 L
-469420 -498425 U
-492719 -489263 L
-471475 -491418 L
-495535 -472767 U
-499027 -480629 D
-486931 -489137 D
-481248 -490623 U
-488276 -474737 D
-495561 -469768 R
-469428 -499914 R
-493588 -492906 U
-489914 -479812 L
-474221 -491052 L
-471183 -474751 L
-484962 -492656 L
-473489 -483460 R
-483399 -472869 L
-478247 -490922 R
-485852 -468560 L
-490894 -469114 L
-484518 -479346 U
-476986 -495804 R
-469401 -471241 U
-480514 -495504 D
-495496 -494597 U
-492335 -492098 D
-493943 -484266 L
-494378 -480311 R
-482749 -476466 R
-468562 -491561 D
-477856 -473259 R
-497993 -475785 R
-486091 -496488 R
-480959 -467648 D
-476111 -497150 U
-485239 -478893 U
-494224 -471458 R
-472607 -488322 U
-476495 -477092 D
-487479 -473341 R
-489642 -482971 D
-496148 -472977 R
-486600 -480128 R
-498378 -499690 U
-475542 -469444 L
-490869 -475649 R
-486585 -490541 U
-483398 -467867 L
-477595 -483575 D
-476731 -479707 L
-494532 -493200 L
-495461 -491352 U
-496996 -496361 R
-490551 -475100 L
-483245 -497196 R
-475935 -474282 U
-473199 -481888 L
-490632 -491520 U
-493600 -472121 D
-483318 -484414 L
-494890 -484905 R
-472527 -473795 R
-486710 -480627 L
-470036 -479373 R
-498390 -487880 U
-497951 -492066 U
-476597 -488115 R
-480791 -493117 L
-478515 -467692 L
-486327 -484963 L
-485658 -493632 L
-491175 -472645 R
-483801 -491433 U
-486767 -487066 U
-471384 -495586 U
-497869 -478676 D
-470887 -487781 U
-493555 -473318 L
-487518 -477627 R
-472322 -473071 U
-469599 -493710 L
-490162 -476799 R
-474459 -485333 R
-494345 -472284 U
-478156 -488722 L
-472980 -472945 L
-499137 -487547 R
-480893 -486210 D
-474537 -485259 L
-484463 -490021 L
-478730 -486216 L
-481833 -497421 U
-487681 -479037 D
-472375 -471716 L
-470589 -470272 R
-499228 -490003 D
-491990 -469184 L
-496376 -482715 R
-497199 -480802 R
-474232 -488055 L
-494786 -479613 U
-476036 -488222 U
-497033 -481338 L
-479501 -482001 R
-481887 -496603 D
-493036 -494892 D
-484238 -497144 U
-483242 -497674 L
-492648 -483382 U
-481200 -480758 R
-492186 -487937 U
-476462 -489737 D
-489628 -485011 U
-480950 -475615 R
-482153 -483464 U
-493409 -478223 L
-490854 -492821 L
-488444 -481603 U
-480285 -479131 L
-497541 -478690 R
-498749 -474925 L
-486156 -497144 R
-468733 -490046 R
-482219 -480941 R
-497100 -471445 L
-471603 -497813 L
-490750 -490042 L
-496326 -485538 R
-476114 -472827 L
-481137 -473460 R
-495619 -470195 U
-485249 -492644 U
-494791 -471420 R
-491055 -473465 L
-481508 -474491 L
-476625 -485160 U
-478532 -470232 L
-487859 -497296 U
-494896 -486697 R
-477002 -497301 U
-482079 -478559 R
-491604 -477177 D
-487603 -484840 R
-477746 -482928 L
-493145 -475053 R
-496494 -484931 D
-474806 -471824 L
-493398 -467960 L
-474040 -498970 L
-473108 -492313 R
-470793 -470903 D
-473759 -471826 L
-470324 -489711 L
-494727 -472256 L
-481985 -491141 L
-471651 -485669 D
-467987 -494169 U
-476778 -498012 U
-492737 -484361 R
-481661 -483779 U
-483538 -468766 R
-476594 -480757 U
-494074 -495309 L
-495644 -493836 U
-470218 -492306 L
-485471 -480573 R
-490867 -469483 L
-485211 -473042 R
-491919 -485447 D
-496365 -477711 D
-472072 -477406 U
-496533 -474492 D
-485911 -482312 U
-467336 -473526 D
-476146 -492120 R
-469365 -490412 D
-491935 -484484 U
-472578 -496115 R
-474122 -478679 D
-489936 -489376 D
-472141 -484169 R
-497285 -495293 D
-497356 -489461 U
-499762 -492889 L
-468373 -473207 U
-495881 -488390 U
-470302 -475522 U
-497722 -487549 U
-483421 -467633 L
-497540 -482754 U
-470222 -490836 L
-486823 -476925 U
-472287 -495571 D
-493795 -470886 D
-480989 -475353 U
-482095 -469366 R
-485458 -479845 L
-481980 -482866 U
-493950 -490354 L
-486418 -476504 L
-498248 -487379 D
-497600 -467695 D
-481756 -493695 D
-488562 -482504 R
-492501 -490329 U
-485107 -479735 L
-475551 -495673 L
-488544 -491590 U
-488565 -471488 L
-495514 -483128 D
-468013 -478018 D
-473526 -482830 D
-471211 -477643 R
-470520 -479734 L
-470960 -490750 R
-480424 -478015 R
-497256 -470383 L
-494776 -470099 U
-482780 -473248 D
-471832 -486078 L
-469810 -495557 D
-481065 -494223 D
-497773 -476420 L
-489133 -497112 R
-489473 -496576 D
-497709 -491024 R
-476530 -471871 R
-481698 -486058 R
-480999 -489375 L
-473582 -485408 U
-474956 -490487 D
-472671 -468033 R
-497271 -489761 R
-490070 -481401 U
-490613 -472947 U
-493002 -499840 D
-497379 -484986 D
-493628 -471939 D
-486146 -476274 L
-485467 -473029 D
-476387 -495625 D
-474463 -468056 U
-476134 -487868 L
-495089 -477771 U
-497242 -495303 U
-469268 -499339 R
-481788 -491130 D
-495719 -468813 D
-486582 -496510 R
-483262 -488365 R
-469186 -492869 U
-496869 -471535 D
-491803 -471742 R
-475905 -475275 R
-468710 -468480 U
-477174 -485341 D
-474686 -483727 D
-472758 -472632 D
-499842 -492135 R
-493663 -470449 L
-470034 -497383 L
-489118 -492239 U
-498983 -483683 D
-480426 -492821 D
-479526 -476634 D
-491734 -482806 D
-497051 -494883 L
-479109 -495789 L
-470473 -468116 D
-477453 -490785 L
-490850 -475116 U
-487117 -494002 L
-472306 -488456 D
-469112 -488347 U
-484351 -471979 R
-469353 -494430 U
-485090 -474213 L
-474753 -475718 U
-471543 -469072 R
-473047 -481291 U
-487815 -471628 U
-472642 -498461 D
-476570 -488666 R
-473992 -490521 U
-490143 -473283 R
-468149 -498814 U
-488321 -489265 U
-483564 -488084 R
-489376 -472039 U
-488360 -493609 U
-470741 -489144 U
-479308 -470930 L
-472923 -499813 L
-494962 -473607 R
-482646 -478622 U
-491866 -472157 R
-491866 -467879 L
-474472 -484012 D
-498455 -486647 R
-476554 -495958 U
-487182 -493774 U
-489741 -477595 U
-487945 -495502 U
-498975 -489876 L
-484010 -482915 R
-493068 -498507 U
-477503 -470904 L
-469765 -478287 R
-475084 -469197 R
-471271 -493293 U
-495595 -496233 D
-482145 -473087 D
-477665 -482689 U
-493676 -471019 D
-485418 -491719 U
-495849 -482115 R
-478279 -498427 L
-479724 -472880 D
-480645 -490367 L
-486645 -493444 R
-487471 -479601 R
-469546 -483370 R
-471859 -492698 L
-493137 -493910 D
-484424 -479297 R
-493332 -497040 L
-488992 -478863 R
-467673 -498337 R
-473629 -486447 R
-495156 -479716 R
-491183 -484951 L
-477122 -483971 L
-499002 -471632 U
-488421 -470967 R
-491070 -470082 D
-472249 -468724 D
-477202 -482244 L
-481094 -468399 D
-472173 -470923 D
-499118 -496679 R
-481952 -488999 D
-478958 -471625 U
-493598 -475309 R
-472941 -474547 L
-489167 -488645 R
-498277 -490335 R
-475196 -478835 U
-486130 -474486 D
-476826 -499345 L
-470094 -468329 D
-483388 -483794 L
-476025 -496693 L
-479218 -494803 U
-491876 -484995 R
-486500 -478327 U
-486232 -471044 D
-473700 -470691 U
-489515 -497970 U
-498127 -482847 L
-478092 -474216 U
-486007 -492826 R
-499043 -479974 U
-470572 -472234 D
-467477 -499773 U
-497366 -494658 R
-467259 -475710 D
-496457 -490222 D
-467714 -478553 L
-473906 -492754 R
-485707 -481551 L
-483923 -469579 D
-489548 -476653 L
-494821 -496284 R
-488255 -493091 R
-486106 -467715 D
-472163 -490415 U
-480598 -484289 D
-490579 -492225 D
-489878 -470855 R
-494473 -486585 U
-480800 -480426 L
-467331 -489457 L
-484077 -476433 R
-485345 -467504 D
-498418 -476343 L
-486527 -491388 U
-496944 -498357 U
-470087 -488612 U
-482612 -495540 L
-491871 -476341 R
-472745 -483894 U
-473566 -473658 L
-482671 -483344 L
-483611 -477434 U
-496470 -474969 L
-494699 -475787 L
-480873 -478669 U
-488633 -495609 R
-482929 -478330 L
-491876 -476235 R
-486931 -491061 U
-480580 -473011 U
-494519 -475681 D
-499142 -499882 R
-477219 -473170 L
-492673 -475201 L
-476261 -496980 L
-485034 -499834 U
-499328 -467484 R
-494176 -493401 U
-474114 -499883 D
-499863 -495381 R
-492386 -498287 R
-469811 -473999 U
-485599 -470053 L
-493973 -481020 L
-471350 -484292 D
-469665 -478044 D
-484447 -485309 U
-483847 -492607 D
-494658 -496539 R
-479065 -496609 U
-489207 -470203 R
-481333 -479392 D
-473613 -490169 U
-498566 -480104 L
-496628 -498123 L
-469675 -499062 U
-488060 -490007 U
-486918 -467886 U
-477440 -482767 D
-496964 -491347 R
-487100 -489622 R
-491610 -491490 L
-484706 -476533 R
-482565 -474981 D
-498147 -486771 D
-488796 -498284 U
-482568 -483208 U
-495275 -489117 U
-485205 -471934 U
-486579 -493167 R
-469830 -478214 D
-476163 -468625 L
-488168 -497929 R
-478983 -489741 U
-473436 -494070 R
-492541 -488481 R
-478918 -483490 L
-476916 -468589 R
-494777 -481271 D
-495999 -485340 U
-467734 -468608 D
-498367 -491133 D
-475393 -490391 D
-474362 -481313 D
-492378 -483006 L
-481995 -478584 L
-496080 -492393 D
-494782 -483589 L
-499094 -483402 L
-497866 -492582 D
-489532 -481237 L
-479245 -495096 L
-468789 -471196 U
-498612 -469990 D
-499741 -470702 D
-487665 -497958 L
-469932 -492582 U
-476280 -477804 L
-473356 -472454 D
-497870 -484511 L
-499932 -468879 D
-497524 -473419 R
-485163 -493249 D
-490423 -495925 L
-484664 -476575 D
-499365 -472370 L
-481194 -474475 L
-482945 -481064 L
-494507 -474617 U
-497823 -469237 D
-474374 -474058 R
-469912 -492676 D
-497975 -491659 U
-469051 -489555 L
-472848 -489650 R
-469652 -476486 L
-497757 -467398 R
-489746 -478833 D
-486065 -485275 R
-470667 -497985 U
-468544 -498573 L
-494765 -472105 D
-478575 -479092 D
-479013 -498627 D
-482696 -487150 D
-468090 -487941 D
-485550 -468022 U
-491633 -491766 D
-475911 -498324 U
-490621 -492041 U
-497847 -472887 L
-499066 -486664 U
-497693 -498167 D
-477899 -496948 R
-494458 -479812 R
-473496 -493834 D
-472797 -483673 D
-473015 -487621 D
-492307 -495981 R
-478344 -489881 D
-482284 -494193 R
-475850 -468798 U
-499726 -495519 D
-494906 -498494 R
-492077 -468452 R
-477300 -487721 L
-472938 -473587 D
-495469 -469142 U
-472094 -484729 U
-498820 -469405 R
-489567 -482761 R
-489467 -470577 L
-489217 -496392 D
-486744 -471679 L
-484831 -476564 L
-482293 -487483 L
-471994 -493622 U
-484308 -476297 D
-485342 -489586 U
-499311 -468445 L
-475515 -498403 R
-472084 -487179 D
-489554 -487555 R
-483608 -470625 U
-488993 -471647 U
-496353 -478068 D
-471033 -482295 U
-482193 -467991 U
-483420 -489823 U
-476132 -469136 L
-472797 -474340 D
-470394 -487675 L
-495506 -483507 U
-472221 -471438 R
-482456 -490461 D
-491340 -477459 U
-494977 -485044 L
-481298 -480457 L
-482392 -475460 R
-493034 -470681 R
-486822 -481151 R
-472903 -486979 R
-495777 -469338 R
-474358 -484318 D
-497249 -489956 D
-486002 -489968 U
-498389 -468764 U
-486373 -487145 L
-468949 -482588 D
-487146 -479672 D
-475765 -469453 D
-477648 -496354 D
-468112 -473917 U
-495076 -473914 L
-495653 -481618 R
-480272 -484145 D
-475119 -468078 L
-477148 -477522 D
-485489 -490817 R
-469896 -480357 R
-489024 -485082 D
-489685 -480601 U
-469585 -484023 D
-494785 -487126 R
-479908 -485222 L
-469313 -496687 R
-497006 -480494 D
-472760 -493322 U
-493242 -483106 D
-475069 -494329 L
-490530 -490634 U
-480374 -499672 U
-473085 -471424 L
-493445 -485290 L
-492865 -473527 D
-474468 -481871 R
-468713 -479047 D
-475042 -491844 U
-491930 -478452 U
-499804 -497492 D
-496608 -481862 L
-468709 -492507 R
-497979 -484013 R
-486783 -470797 L
-493007 -490952 U
-473237 -494686 L
-480376 -480651 U
-496329 -483841 R
-480912 -470987 U
-495078 -473109 D
-476330 -473995 L
-483174 -485371 R
-469262 -478960 U
-497712 -486377 U
-479415 -496080 U
-467395 -475315 R
-470315 -479538 D
-468956 -481127 U
-485718 -498488 L
-480355 -469548 D
-480609 -489302 U
-488478 -489346 D
-469264 -476592 D
-486775 -483547 D
-483882 -473381 D
-497509 -498972 U
-467973 -469576 L
-468268 -494988 D
-485152 -482907 L
-472211 -473923 L
-486260 -490502 L
-476867 -492804 U
-470500 -489565 D
-473324 -491835 U
-493816 -489851 D
-483426 -474471 L
-498368 -471214 D
-487119 -492607 L
-488851 -472343 U
-484781 -499032 L
-489227 -499745 D
-480550 -490759 L
-479340 -477244 R
-497939 -493794 L
-476496 -467659 L
-487327 -482569 D
-481624 -476436 R
-479209 -479257 L
-492334 -482495 L
-492440 -475007 D
-488218 -490275 U
-484664 -484224 U
-490749 -484216 U
-488924 -490029 R
-471402 -483996 L
-487254 -487977 R
-497461 -475156 L
-474383 -479711 R
-472759 -475764 L
-494647 -480670 U
-471439 -474695 L
-498922 -497332 D
-484780 -484664 L
-481409 -487298 D
-493544 -474122 D
-499239 -470046 R
-469620 -487582 U
-484706 -482551 R
-472298 -486935 L
-489274 -475301 D
-483262 -472029 U
-475425 -467902 L
-473705 -478485 D
-481733 -473454 L
-496511 -491709 R
-484982 -474401 L
-471950 -499602 D
-481481 -497023 U
-470906 -484206 D
-468634 -467601 U
-496821 -480437 U
-482204 -478399 L
-477568 -478489 L
-483869 -475150 D
-498967 -467888 D
-479646 -487104 D
-499575 -492855 R
-468091 -487498 R
-482855 -467959 R
-498348 -492861 L
-492317 -488868 U
-489069 -485004 L
-490685 -479795 U
-481360 -491105 L
-473482 -468339 U
-490240 -469590 D
-495605 -472564 R
-498622 -467661 L
-496247 -489088 U
-469863 -493766 L
-475605 -498729 R
-468094 -482135 U
-473920 -489927 U
-476560 -499644 R
-497073 -498256 D
-467945 -477843 D
-496043 -487030 L
-475512 -485056 D
-489551 -478829 U
-473430 -491028 D
-490086 -475076 D
-483647 -481698 D
-490953 -495549 R
-498448 -473967 U
-491345 -497024 L
-471035 -469215 D
-487734 -492583 D
-499727 -470276 R
-473473 -478057 U
-492365 -496583 R
-498183 -478837 U
-499298 -488060 R
-477952 -484160 L
-480181 -479327 D
-482099 -477511 U
-479854 -481553 U
-486486 -476574 R
-491430 -468231 D
-495634 -492227 L
-475865 -475024 D
-479689 -484742 D
-478552 -497627 R
-477962 -486670 D
-480580 -485919 L
-486499 -498362 R
-474976 -481242 D
-481771 -489339 U
-493500 -477631 R
-477879 -476879 U
-495617 -476104 D
-472091 -492677 U
-492270 -490384 R
-499044 -497919 L
-485184 -471765 D
-472689 -487549 R
-489757 -492503 R
-467798 -492737 L
-499642 -484090 L
-479458 -498947 L
-493012 -493761 U
-491983 -474905 D
-470581 -471335 D
-494046 -472375 R
-492123 -495845 R
-478249 -480943 L
-491512 -491294 U
-490360 -499372 R
-492267 -493963 U
-474968 -473762 U
-484315 -486173 U
-470600 -477984 L
-487585 -497839 D
-488753 -476187 R
-479774 -474430 R
-488976 -483052 R
-488499 -491204 U
-496494 -497313 R
-468730 -470687 U
-472096 -483389 L
-468325 -494648 R
-473709 -486191 D
-467960 -486977 D
-467835 -484096 R
-471865 -487099 R
-473020 -498182 D
-478213 -493489 U
-496310 -484767 D
-489705 -481855 L
-475221 -489283 R
-486977 -495464 D
-470948 -479854 R
-471958 -479679 D
-472744 -480816 D
-488347 -473330 U
-477363 -481763 L
-478398 -496576 D
-475230 -477019 D
-475934 -473810 L
-469012 -498056 U
-486767 -487065 L
-471000 -484711 U
-479497 -468001 D
-486558 -476081 R
-478780 -491634 L
-492921 -476325 D
-470177 -493560 U
-492656 -474093 D
-489459 -468749 L
-494760 -481634 L
-499910 -467603 U
-470360 -482366 R
-485644 -467783 D
-481428 -485631 U
-473926 -482354 U
-499446 -481032 U
-480224 -472157 U
-468149 -481731 L
-478965 -478654 L
-475807 -485834 U
-485790 -470767 L
-482583 -488815 D
-476281 -469808 R
-498947 -480399 D
-484862 -480198 L
-479830 -488086 D
-478694 -473009 R
-478607 -477731 U
-479155 -485973 L
-482664 -481449 R
-479503 -468866 D
-477072 -478469 R
-467362 -484097 D
-489245 -496341 U
-498838 -496538 L
-469276 -470304 L
-479444 -492833 R
-493416 -476557 D
-474056 -484113 U
-480177 -498233 U
-484140 -486595 R
-487515 -473830 D
-490795 -478783 D
-469658 -491302 U
-494297 -482356 L
-497907 -489895 R
-491475 -483235 U
-498453 -498116 U
-490122 -468286 R
-490393 -482075 D
-482169 -497285 U
-479797 -492455 D
-484963 -470575 R
-490596 -471981 U
-472906 -495451 L
-476296 -499598 L
-484787 -480926 L
-494368 -483890 D
-484224 -480748 U
-486265 -499614 L
-469346 -475117 D
-480527 -481796 R
-477618 -476470 U
-482420 -497738 D
-473900 -474509 D
-494193 -490451 R
-477163 -497936 L
-499147 -480276 L
-473488 -487684 D
-490437 -479547 D
-477820 -497039 L
-482651 -482294 R
-476295 -480687 U
-496333 -491285 U
-473234 -485418 R
-486638 -485534 U
-495348 -475207 L
-486228 -492174 U
-493447 -468637 U
-469087 -471132 D
-477407 -497190 R
-495535 -494841 L
-493816 -495501 U
-469375 -476636 L
-480864 -475207 U
-498948 -496228 R
-477083 -487664 U
-486842 -490388 D
-493405 -499215 D
-480077 -483053 D
-493262 -481322 L
-479609 -491516 R
-476148 -490446 R
-480539 -476882 R
-473327 -487415 R
-492870 -468607 D
-483766 -479491 R
-498459 -476490 U
-491631 -471052 D
-483506 -495925 U
-497048 -477794 R
-483162 -499222 L
-495525 -475773 D
-472823 -470861 L
-472746 -484247 U
-492616 -480726 R
-490338 -475869 R
-495964 -476236 U
-476550 -496840 U
-473981 -496925 U
-480329 -473895 U
-488284 -486393 L
-486535 -481245 D
-487486 -477763 U
-498396 -492127 R
-494726 -478995 D
-486590 -493951 D
-473535 -499198 U
-483925 -483575 U
-490530 -490696 R
-469924 -485857 U
-481574 -495279 D
-472635 -499443 D
-494232 -498917 R
-480655 -475457 R
-493396 -476796 D
-497328 -483276 L
-490641 -487117 R
-477414 -486444 R
-497250 -491554 L
-499595 -487446 R
-484314 -477483 L
-474645 -480133 L
-469741 -495239 R
-470570 -485600 R
-496140 -495207 L
-483391 -496708 U
-495890 -482066 D
-498181 -478431 R
-495854 -477658 R
-477877 -482047 D
-487736 -487100 L
-480258 -492361 U
-476309 -485825 U
-499498 -472874 D
-485520 -481762 U
-491659 -480386 L
-498513 -477683 L
-469155 -485918 R
-477533 -495328 D
-483424 -478329 L
-487239 -492369 L
-474928 -488923 R
-493300 -492383 U
-498733 -468688 D
-490973 -472065 L
-483421 -487309 L
-496002 -470121 L
-476891 -469182 D
-497882 -472154 U
-471142 -481744 U
-468368 -469314 L
-469671 -494773 U
-488778 -486558 R
-481326 -494260 D
-480071 -471286 L
-472308 -484290 R
-474147 -474987 L
-488429 -483711 R
-475508 -497329 U
-496865 -495800 D
-475305 -474351 D
-493227 -479284 U
-487499 -489682 U
-483481 -475404 U
-491666 -496350 D
-468593 -490711 L
-491500 -487102 L
-480621 -493439 R
-479720 -486692 U
-480569 -491118 L
-474790 -477557 R
-493220 -490621 D
-484018 -473945 D
-473770 -489927 D
-492285 -473830 R
-495373 -493640 L
-486993 -495353 D
-471685 -467452 U
-497005 -489475 L
-498009 -473812 U
-478380 -493136 L
-484317 -483511 R
-470508 -469395 U
-480043 -480625 U
-474891 -489527 U
-480522 -469558 D
-477489 -475082 D
-499435 -485931 D
-499395 -480385 L
-471132 -475406 L
-481718 -490651 L
-497758 -472305 R
-479639 -486707 L
-470415 -486831 L
-497791 -477384 U
-475127 -496248 U
-468953 -498807 U
-480258 -486827 U
-489881 -468926 L
-483564 -473309 U
-493652 -490318 R
-493991 -499381 D
-493665 -482851 D
-493064 -497164 R
-495082 -498952 U
-467641 -469356 R
-470922 -499500 L
-495938 -489444 U
-490235 -492403 R
-484911 -470997 U
-471260 -480432 D
-477714 -483863 R
-468620 -475094 U
-473844 -476074 U
-479421 -480765 U
-489086 -472531 R
-476964 -488605 R
-487891 -469077 L
-489841 -467309 L
-479991 -495394 D
-474997 -469969 L
-483380 -468154 D
-481825 -486583 U
-490726 -490513 R
-479423 -472655 R
-475018 -485560 L
-476572 -499718 R
-467972 -487827 U
-481013 -493492 D
-492935 -477805 U
-480480 -495563 U
-497262 -467492 R
-488092 -475929 R
-469269 -483133 D
-495960 -493907 D
-490356 -498221 R
-476279 -486532 U
-493573 -472209 U
-469731 -493080 D
-479542 -476715 R
-499428 -488217 D
-483716 -470112 R
-490905 -498136 L
-491757 -476814 L
-479492 -493588 R
-498001 -475503 L
-486220 -487271 D
-499209 -472418 D
-487325 -489080 R
-473009 -472919 R
-478416 -485444 R
-467967 -475567 R
-475072 -487300 R
-481822 -490059 R
-491259 -471790 L
-476895 -476321 U
-468778 -491497 R
-493762 -471702 D
-479083 -486387 D
-469672 -472168 D
-476779 -467389 D
-468135 -479207 L
-478474 -499149 R
-496988 -497885 L
-499913 -499502 U
-484011 -495692 L
-475218 -471917 D
-487378 -484841 D
-488930 -473590 U
-493366 -476928 D
-479056 -471443 U
-469326 -483237 R
-471315 -478099 D
-480938 -485092 U
-495979 -477924 R
-479699 -486466 L
-496284 -479795 D
-487070 -496846 D
-497378 -467642 D
-491315 -489383 L
-489087 -499312 U
-490442 -476549 U
-469014 -479930 U
-479468 -478427 R
-482605 -497089 U
-491713 -469897 D
-475277 -493351 R
-468658 -493865 D
-498144 -474539 L
-467297 -489619 R
-494002 -476664 L
-482762 -494845 D
-477894 -492474 R
-468746 -472799 D
-481629 -472236 D
-469277 -495247 U
-491234 -489012 R
-471442 -474668 R
-489494 -487640 R
-481288 -471623 D
-470450 -483719 U
-477428 -493695 D
-471833 -479109 L
-499701 -478427 D
-484497 -493191 D
-476107 -486059 U
-491033 -497468 L
-474283 -471866 D
-478682 -482649 D
-472706 -488593 L
-469189 -493790 L
